"Term","Participant.Code","Question_number","Question_text","Pre","Post"
"2022_1",1,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",4,4
"2022_1",1,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,4
"2022_1",1,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,5
"2022_1",1,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,4
"2022_1",1,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",3,5
"2022_1",2,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",3,3
"2022_1",2,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",2,3
"2022_1",2,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",3,3
"2022_1",2,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",3,3
"2022_1",2,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",2,2
"2022_1",2,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",2,2
"2022_1",2,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",2,3
"2022_1",2,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",2,2
"2022_1",2,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",2,2
"2022_1",2,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",2,2
"2022_1",2,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",2,2
"2022_1",2,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",3,3
"2022_1",2,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",3,3
"2022_1",2,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",2,2
"2022_1",2,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",1,2
"2022_1",2,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",3,3
"2022_1",2,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",4,4
"2022_1",2,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",4,4
"2022_1",2,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",3,4
"2022_1",2,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",3,4
"2022_1",2,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,4
"2022_1",2,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",3,4
"2022_1",3,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",3,3
"2022_1",3,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",3,3
"2022_1",3,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",3,4
"2022_1",3,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",3,4
"2022_1",3,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",3,4
"2022_1",3,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",3,4
"2022_1",3,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",3,3
"2022_1",3,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",4,4
"2022_1",3,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",4,4
"2022_1",3,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",4,3
"2022_1",3,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",NA,4
"2022_1",3,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",NA,5
"2022_1",3,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",2,4
"2022_1",3,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",3,4
"2022_1",3,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",1,2
"2022_1",3,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,4
"2022_1",3,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",4,4
"2022_1",3,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",4,4
"2022_1",3,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,4
"2022_1",3,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,4
"2022_1",3,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,4
"2022_1",3,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",4,4
"2022_1",4,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",1,2
"2022_1",4,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",1,3
"2022_1",4,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",1,2
"2022_1",4,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",2,3
"2022_1",4,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",1,2
"2022_1",4,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",1,3
"2022_1",4,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",1,3
"2022_1",4,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",2,3
"2022_1",4,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",2,3
"2022_1",4,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",1,3
"2022_1",4,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",3,3
"2022_1",4,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",2,3
"2022_1",4,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",1,2
"2022_1",4,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",2,3
"2022_1",4,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",1,2
"2022_1",4,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",2,4
"2022_1",4,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",1,3
"2022_1",4,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",3,3
"2022_1",4,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",2,2
"2022_1",4,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,3
"2022_1",4,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",2,2
"2022_1",4,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",2,2
"2022_1",5,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",2,4
"2022_1",5,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",1,3
"2022_1",5,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",2,4
"2022_1",5,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",2,4
"2022_1",5,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",2,3
"2022_1",5,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",2,4
"2022_1",5,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",2,4
"2022_1",5,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",2,3
"2022_1",5,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",2,3
"2022_1",5,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",2,3
"2022_1",5,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",2,3
"2022_1",5,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",2,3
"2022_1",5,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",2,4
"2022_1",5,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",2,3
"2022_1",5,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",1,3
"2022_1",5,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,4
"2022_1",5,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",4,4
"2022_1",5,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",4,4
"2022_1",5,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,4
"2022_1",5,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,4
"2022_1",5,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,4
"2022_1",5,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",3,4
"2022_1",6,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",2,4
"2022_1",6,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",2,3
"2022_1",6,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",3,4
"2022_1",6,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",3,4
"2022_1",6,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",3,3
"2022_1",6,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",3,4
"2022_1",6,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",3,4
"2022_1",6,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",3,4
"2022_1",6,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",4,4
"2022_1",6,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",4,4
"2022_1",6,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",4,4
"2022_1",6,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",4,4
"2022_1",6,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",5,4
"2022_1",6,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",4,4
"2022_1",6,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",3,4
"2022_1",6,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,4
"2022_1",6,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",4,4
"2022_1",6,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",5,4
"2022_1",6,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,4
"2022_1",6,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,4
"2022_1",6,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",5,5
"2022_1",6,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",5,4
"2022_1",7,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",1,3
"2022_1",7,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",1,3
"2022_1",7,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",1,4
"2022_1",7,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",1,4
"2022_1",7,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",3,4
"2022_1",7,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",3,3
"2022_1",7,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",2,3
"2022_1",7,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",2,3
"2022_1",7,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",1,4
"2022_1",7,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",1,4
"2022_1",7,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",2,4
"2022_1",7,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",2,4
"2022_1",7,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",1,3
"2022_1",7,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",2,4
"2022_1",7,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",1,4
"2022_1",7,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,4
"2022_1",7,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",4,4
"2022_1",7,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",4,4
"2022_1",7,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,4
"2022_1",7,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,4
"2022_1",7,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,4
"2022_1",7,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",4,4
"2022_1",8,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",3,3
"2022_1",8,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",2,4
"2022_1",8,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",3,4
"2022_1",8,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",3,4
"2022_1",8,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",3,3
"2022_1",8,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",3,3
"2022_1",8,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",3,3
"2022_1",8,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",3,3
"2022_1",8,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",4,4
"2022_1",8,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",3,4
"2022_1",8,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",4,3
"2022_1",8,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",4,3
"2022_1",8,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",3,4
"2022_1",8,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",3,4
"2022_1",8,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",1,3
"2022_1",8,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,4
"2022_1",8,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",4,4
"2022_1",8,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",4,4
"2022_1",8,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,4
"2022_1",8,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,4
"2022_1",8,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,4
"2022_1",8,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",4,4
"2022_1",9,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",3,4
"2022_1",9,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",3,4
"2022_1",9,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",4,4
"2022_1",9,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",3,4
"2022_1",9,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",3,5
"2022_1",9,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",3,4
"2022_1",9,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",2,4
"2022_1",9,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",3,4
"2022_1",9,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",3,4
"2022_1",9,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",2,4
"2022_1",9,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",3,4
"2022_1",9,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",4,4
"2022_1",9,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",3,4
"2022_1",9,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",3,4
"2022_1",9,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",2,4
"2022_1",9,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,4
"2022_1",9,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",4,4
"2022_1",9,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",4,5
"2022_1",9,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",3,5
"2022_1",9,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,4
"2022_1",9,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,4
"2022_1",9,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",3,4
"2022_1",10,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",3,3
"2022_1",10,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",3,4
"2022_1",10,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",3,3
"2022_1",10,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",3,4
"2022_1",10,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",3,3
"2022_1",10,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",3,4
"2022_1",10,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",3,4
"2022_1",10,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",3,4
"2022_1",10,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",4,3
"2022_1",10,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",3,3
"2022_1",10,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",4,4
"2022_1",10,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",4,4
"2022_1",10,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",3,3
"2022_1",10,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",3,4
"2022_1",10,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",3,4
"2022_1",10,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,4
"2022_1",10,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",4,4
"2022_1",10,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",4,4
"2022_1",10,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,4
"2022_1",10,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,4
"2022_1",10,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,4
"2022_1",10,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",4,4
"2022_1",11,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",4,4
"2022_1",11,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",2,2
"2022_1",11,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",3,2
"2022_1",11,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",3,2
"2022_1",11,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",3,3
"2022_1",11,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",2,2
"2022_1",11,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",2,2
"2022_1",11,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",2,3
"2022_1",11,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",4,4
"2022_1",11,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",3,3
"2022_1",11,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",3,4
"2022_1",11,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",5,4
"2022_1",11,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",4,4
"2022_1",11,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",3,4
"2022_1",11,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",2,3
"2022_1",11,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,3
"2022_1",11,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",4,4
"2022_1",11,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",4,4
"2022_1",11,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,4
"2022_1",11,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,4
"2022_1",11,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",5,4
"2022_1",11,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",3,3
"2022_1",12,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",2,3
"2022_1",12,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",2,4
"2022_1",12,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",3,4
"2022_1",12,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",3,5
